show_name,show_url,show_description,show_time,show_place,show_price
2021国潮音乐嘉年华-广州站,2021国潮音乐嘉年华-广州站,艺人：小鬼、GAI、王子异、李汶翰、马思唯、KEY.L刘聪、孟子坤、沙一汀、赵磊、廖效浓、高天佐Trouble.Z、陈思键、左元杰、Tsong梁老师,2021.12.04-12.05,广州,558-888
音乐剧《阿加莎》中文版,音乐剧《阿加莎》中文版,,2021.12.22-2022.01.16,上海,180-680
2021-2022王晰 “图景”个人巡回音乐会广州站,2021-2022王晰 “图景”个人巡回音乐会广州站,,2021.12.04 周六 19:30,广州,480-1280
X玖少年团赵磊《第一次》巡演南宁站,X玖少年团赵磊《第一次》巡演南宁站,,2021.12.16 周四 20:00,南宁,188-988
2021华晨宇火星演唱会,2021华晨宇火星演唱会,艺人：华晨宇,2021.12.03-12.05,海口,380-1280
开心麻花明星场《贼想得到你》,开心麻花明星场《贼想得到你》,,2021.12.03-12.26,北京,80-1080
【项目延期，时间待定】“迎亚运”张信哲“未来式2.0”演唱会杭州站,【项目延期，时间待定】“迎亚运”张信哲“未来式2.0”演唱会杭州站,艺人：张信哲,2021.11.13-12.31,杭州,299-2022
[全场畅饮] 狂欢圣诞节  广州站,[全场畅饮] 狂欢圣诞节 广州站,,2021.12.25-12.26,广州,130-260
开心麻花2021情怀年底大戏《七平米》,开心麻花2021情怀年底大戏《七平米》,,2021.12.01-12.12,北京,80-1080
"2021张韶涵「寓言」世界巡回演唱会 
 广州站",2021张韶涵「寓言」世界巡回演唱会 广州站,艺人：张韶涵,2021.12.25 周六 19:30,广州,280-1280
2021“平安夜一起来听歌”圣诞特别版演唱会-这个Xmas只想和你一起过,2021“平安夜一起来听歌”圣诞特别版演唱会-这个Xmas只想和你一起过,,2021.12.24 周五 20:00,广州,180-580
“热爱”郑钧2021巡回演唱会—苏州站,“热爱”郑钧2021巡回演唱会—苏州站,艺人：郑钧,2021.12.31 周五 21:00,苏州,280-1380
弹壳 2021BOMBSHELL全国巡演武汉站,弹壳 2021BOMBSHELL全国巡演武汉站,艺人：弹壳,2021.12.19 周日 20:00,武汉,258-488
“万事大吉，欢迎光临”苏妙玲2021广州音乐专场,“万事大吉，欢迎光临”苏妙玲2021广州音乐专场,,2021.12.12 周日 19:00,广州,280-358
笑果脱口秀PLUS@商城剧院1204,笑果脱口秀PLUS@商城剧院1204,,2021.12.04 周六 19:30,上海,280-580
迪士尼嘉年华音乐会,迪士尼嘉年华音乐会,,2021.12.17-12.18,杭州,80-1080
芳华绝代·纪念梅艳芳巡回演唱会 广州站,芳华绝代·纪念梅艳芳巡回演唱会 广州站,,2021.12.16 周四 20:30,广州,178-238
开心麻花2021爆笑年底大戏《危险而甜蜜》,开心麻花2021爆笑年底大戏《危险而甜蜜》,,2021.12.02-12.31,北京,9-1080
「明日争取」全国巡演-深圳站,「明日争取」全国巡演-深圳站,,2021.12.19 周日 20:00,深圳,288-428
话剧：《原野》,话剧：《原野》,,2021.11.30-12.05,北京,40-680
中国国家话剧院演出 国家大剧院委约创作 话剧《直播开国大典》,中国国家话剧院演出 国家大剧院委约创作 话剧《直播开国大典》,艺人：吴彼、陶虹、吴樾、张桐,2021.12.22-12.26,北京,180-1080
开心麻花五星爆笑大戏《瞎画艺术家》,开心麻花五星爆笑大戏《瞎画艺术家》,,2021.12.03-12.12,北京,80-1080
野孩子乐队「伏热」巡演 广州站,野孩子乐队「伏热」巡演 广州站,艺人：野孩子乐队,2021.12.10 周五 20:30,广州,220
2021华晨宇火星演唱会 乐园畅玩票（演唱会专享）,2021华晨宇火星演唱会 乐园畅玩票（演唱会专享）,,2021.11.23-12.07,海口,128
中国国家话剧院经典话剧呈现《四世同堂》,中国国家话剧院经典话剧呈现《四世同堂》,,2022.01.21-01.23,上海,80-880
南宁周边 | 早鸟特惠 | 中国·乐养城2022跨年音乐嘉年华,南宁周边 | 早鸟特惠 | 中国·乐养城2022跨年音乐嘉年华,,2021.12.31-2022.01.03,崇左,68-328
开心麻花深情暖心音乐剧《了不起的悲伤》,开心麻花深情暖心音乐剧《了不起的悲伤》,,2021.12.24-2022.01.03,北京,50-300
2021-2022王晰“图景”个人巡回音乐会上海站,2021-2022王晰“图景”个人巡回音乐会上海站,,2022.01.10 周一 19:30,上海,480-1280
音乐剧《马不停蹄的忧伤Ⅱ》,音乐剧《马不停蹄的忧伤Ⅱ》,,2022.03.04-03.15,上海,180-580
迪士尼嘉年华音乐会,迪士尼嘉年华音乐会,,2022.01.15-01.16,上海,180-1080
